E_A;j_0_ref;r_el;D_CL_ref;D_GDL_ref;f_CL
2.34009626431699e-06;6.328403426005322e-05;0.10408057765825644;0.3098842823272418;0.851805370788983;2.642457054323164
0.008458588857638408;2.295804970941705e-05;0.01866281818931188;0.049467254488987235;0.08592137505087752;0.6792994031923524
0.0002386049181783259;1.1320138006050591e-05;0.004143431016732536;0.009146854323827072;0.013698052317099111;0.1564981155126511
0.00012036343174068837;7.850749604185762e-06;0.001567476838781357;0.004238978334266885;0.006240334078534014;0.06626324425561553
8.433714478308747e-05;6.1041995870898315e-06;0.0007390106625447635;0.0015009530391610327;0.0028604589649111833;0.027643910917895583
6.596124495880351e-05;4.978514856417691e-06;0.0005311649736713994;0.0010105947079746829;0.0020347036805382647;0.019330406177941743
5.5422263508425494e-05;4.204758514423251e-06;0.000393813334471061;0.0009130074061472708;0.001745233407342245;0.015526806682561668
4.6731888005425245e-05;3.6816709869017727e-06;0.00030054170551180645;0.0006582489855110707;0.0013257566512776776;0.011749613450132312
4.1472078341557686e-05;3.254598589502632e-06;0.0002450530572065591;0.0005526158716731223;0.0011998658755140077;0.00957222620119927
3.392466295252306e-05;2.858133095454027e-06;0.00021668291190772356;0.0004436388006187164;0.0008802005009056409;0.008206300029679061
3.265620836620888e-05;2.6155859027552996e-06;0.00018670368485537763;0.0004185191217839598;0.0008343579816953102;0.007390081494209544
2.8280342802418854e-05;2.3755370407458803e-06;0.0001690965700105131;0.0003629846742807865;0.0007127327121174144;0.0065219262157520655
2.642097857295893e-05;2.1880015596228537e-06;0.00015617636714330865;0.0003233072677500941;0.0006361652340354935;0.0059673148217985325
2.4653034254858826e-05;2.033935865313277e-06;0.0001349713079511556;0.0003015400581920599;0.0005968065605612943;0.005311565132107925
2.2741803676372916e-05;1.8819361587605894e-06;0.0001224622890001067;0.00026175933282454296;0.0005129819342752293;0.004746465020342938
2.1109796679342868e-05;1.7694507820888918e-06;0.00011261816099164682;0.0002459637287294135;0.0005007707530603454;0.00437510325515046
2.0246451660450677e-05;1.6596269286086845e-06;0.00010545192598748796;0.00023656564676753422;0.0004698625920119468;0.0041413746533587
1.8360242626361344e-05;1.563940161641203e-06;9.751764945172595e-05;0.00021150989473726239;0.0004176873187032904;0.0038040247191576722
1.7467090288105494e-05;1.491045444115212e-06;9.397174440186059e-05;0.00019701564682988868;0.00040708069599442045;0.0036035657834338586
1.681011954160749e-05;1.4032724395827644e-06;8.926395610754401e-05;0.0001887816791810431;0.00036224032330717075;0.003445575510209667
1.5691737463236405e-05;1.3292196031433713e-06;7.844476253245125e-05;0.00016653840094847392;0.0003222402364910787;0.0030535984674819605
1.5099129992335996e-05;1.2758993524131612e-06;7.822771182884868e-05;0.00017117409607908678;0.0003302386248611103;0.003056527132821632
1.4176697935283688e-05;1.2067290223574844e-06;7.065040109022493e-05;0.0001456901438880239;0.00028447650221269377;0.002689096847798272
1.3619120815513924e-05;1.1582445673536746e-06;6.865458839008692e-05;0.0001442231526870178;0.00027602306310608917;0.002642561117056656
1.2879692648151535e-05;1.1098608867348262e-06;6.35058840870397e-05;0.00012982176871159586;0.00025337972216814834;0.0024144660818229235
1.234846071210531e-05;1.0563049150800345e-06;6.452006054062132e-05;0.00012438933996644123;0.00022300853530206056;0.002422121279432257
1.2132620015026965e-05;1.0217654471488684e-06;5.77219291055206e-05;0.00011671961760085309;0.00021999762540980753;0.0021946706267163742
1.1656141145638258e-05;9.89119163780604e-07;5.708498235975753e-05;0.00011995678156623303;0.0002234297445691525;0.002204109071417287
1.0878463367901066e-05;9.506422500594423e-07;5.253327856645996e-05;0.00010722468715772466;0.00020340679398045603;0.001990495438698285
1.0860962788890423e-05;9.186507364714864e-07;5.000076486728214e-05;9.89618536441932e-05;0.00019215778874023;0.001886010325977404
1.0381638048040817e-05;8.947127573331077e-07;5.104440142634622e-05;0.00010655731648632177;0.0002096434717547736;0.0019393452245618213
9.881025524217999e-06;8.547937195398878e-07;4.636144094305272e-05;9.540850903729137e-05;0.00017137140980572402;0.0017755794522050419
9.679672860336172e-06;8.331678264462791e-07;4.774644735740024e-05;9.829661797450396e-05;0.00017587064030824602;0.0018331657539048776
9.367089433692852e-06;8.135015554048819e-07;4.6715243713116924e-05;9.714125484796682e-05;0.00018273859600944855;0.0017875854635563174
8.94937799151374e-06;7.86488160845036e-07;4.19605526522063e-05;8.854527428402018e-05;0.00016266131914676214;0.0016255214692863635
8.945140983210642e-06;7.677273243415339e-07;4.1491463798927527e-05;8.801178609697249e-05;0.00016627693238733165;0.0016090198630471864
8.687297427043093e-06;7.514976991712809e-07;4.201020681070486e-05;8.829607089126777e-05;0.00017165347457433178;0.0016189466287394462
8.413542976986624e-06;7.281671239229822e-07;4.0109263132243735e-05;8.350346669861182e-05;0.0001588929655472049;0.0015409002477090772
8.191609828092097e-06;7.017744793711585e-07;3.9010482687387795e-05;7.894131458610084e-05;0.0001366094716467931;0.001495948485818126
8.063591364084873e-06;6.894098258494978e-07;3.73807395774254e-05;7.712398216713121e-05;0.0001455881140540155;0.0014278279165556395
7.767015954998558e-06;6.731060755061479e-07;3.57870452501786e-05;7.406698574764611e-05;0.0001421973318939567;0.0013741421415374216
7.545778638154693e-06;6.530412649179578e-07;3.684034092727459e-05;7.5152513407565e-05;0.000133641670195068;0.0014089491333429923
7.439651917777077e-06;6.399352280967094e-07;3.4577260566179816e-05;7.053313307182584e-05;0.00013244777947716294;0.0013170793418803217
7.22330466444312e-06;6.273320204053182e-07;3.3426945084381835e-05;6.982697802317015e-05;0.00013269819031278725;0.0012855189770635384
7.077543452690642e-06;6.103891347287044e-07;3.293091962120519e-05;6.874876071899755e-05;0.00012638898574050646;0.0012641477717437383
