E_A;j_0_ref;r_el;D_CL_ref;D_GDL_ref;f_CL
1.7324027560277687e-06;5.572463221002309e-06;0.028116743016170474;0.20673546086845995;0.6570594660583902;0.8547680877111128
0.06547081710842588;5.475742802117178e-06;0.010933824624201616;0.03488592370208314;0.08013031048427834;0.34836672306483046
0.0001235561840606052;1.3484645612987527e-06;0.003391683929870749;0.010237820041834177;0.015162981367019766;0.1356787533231985
5.1763554105243276e-05;6.884728518439983e-07;0.0014486602641772556;0.00536249795801149;0.006850107714442007;0.06917080635925349
2.579897665239241e-05;5.172008134769942e-07;0.0006558051804295405;0.0013666499312525384;0.0015517643850496545;0.024864564167792834
1.8623724048342804e-05;4.002138683604095e-07;0.00033827721273394006;0.0007653367372008493;0.0011195042354739304;0.012515806598913994
1.2552426538983475e-05;3.300856393846078e-07;0.00021662407148772715;0.0007665112733388634;0.0010590705598852348;0.010312046667335517
1.1247349019620072e-05;2.844273549962848e-07;0.00014897687275378918;0.00041717548602524104;0.0005874405874575375;0.007012556156524671
9.62364950715794e-06;2.3635800704460876e-07;0.00010392061463916177;0.00034610182558056384;0.000605484501611048;0.0046237388606661855
6.406760878526855e-06;1.900903044266813e-07;9.979886980132813e-05;0.00025284618363403494;0.0004504120552456732;0.004133476801674979
5.811744301690212e-06;1.657764580567599e-07;6.692751162855608e-05;0.0002360519224777547;0.0003899360038087469;0.0033865056221667415
4.723661928198926e-06;1.6311716098832348e-07;6.007822913949603e-05;0.0002064212728284261;0.0003773944929921496;0.0027863959966930455
4.8145584013349674e-06;1.5990964967326835e-07;6.335865810651133e-05;0.00020682886276477216;0.00036761748278444647;0.002912450782324568
4.266771680402496e-06;1.3259740045348095e-07;4.231549650861519e-05;0.000133925323995477;0.0002846534605727177;0.0019841427041800627
3.6678938473488064e-06;1.0266991746096955e-07;3.994978075814926e-05;0.0001437005499929063;0.00023690812049417486;0.002051626553128794
3.0221342814523457e-06;1.0354988031411832e-07;3.419226791656599e-05;9.551800937216674e-05;0.000220764968530586;0.001431365083560234
2.786018363013625e-06;9.221585714931625e-08;2.8847229136657693e-05;0.00010831698739447406;0.00022779662138351842;0.0014541469034157443
2.334858291301745e-06;8.922249259403196e-08;2.8645598593097356e-05;9.333809489825906e-05;0.00019908656064129637;0.0013626380028424177
2.5924105066425335e-06;9.069792312506139e-08;2.8269176992366435e-05;7.429782209246807e-05;0.00017884143417450316;0.0011824606346546788
2.150030579277487e-06;7.5368128924163e-08;2.4116231358470946e-05;8.209295216009498e-05;0.00017749465171975717;0.001155424720867372
1.6593650259182149e-06;5.625309419072653e-08;2.4868989792631418e-05;6.849373402132107e-05;0.00013599012783082812;0.0010858816542702358
1.985049849484531e-06;6.539051313862275e-08;1.9215231877799603e-05;7.18131946527464e-05;0.00015126745182838294;0.000928140350008998
